pair,ancestry,method,b,se,pval,nsnp,note
LPA_CAVS_EUR,EUR,Inverse variance weighted,0.239752613942561,0.0715433377701051,0.000804760577071127,9,""
LPA_CAVS_EUR,EUR,MR Egger,0.12609324899902,0.116402435606237,0.314592256710412,9,""
LPA_CAVS_EUR,EUR,Weighted median,0.241892741739188,0.0744999354957176,0.00116675420935029,9,""
LPA_CAVS_EUR,EUR,Weighted mode,0.207539261408759,0.307849700675707,0.519212170651189,9,""
LPA_CAVS_EUR,EUR,MR-Egger intercept,0.0135332707042573,0.0111196990063998,0.263018702299353,9,""
LPA_CAVS_EUR,EUR,Q (MR Egger),10.7453923789556,7,0.150116909481851,9,"b=Q, se=df"
LPA_CAVS_EUR,EUR,Q (Inverse variance weighted),13.0191476218464,8,0.111192498532308,9,"b=Q, se=df"
LPA_CAVS_EUR,EUR,MR-PRESSO (raw),0.239752613942561,0.0715433377701051,0.0100630672551509,9,""
LPA_CAVS_EUR,EUR,MR-PRESSO (outlier-corrected),,,"",9,n_outliers=0
LPA_CAVS_EUR,EUR,MR-PRESSO Global,,,0.201,9,Global pleiotropy test
LPA_CAVS_EUR,EUR,Radial-IVW,0.239758135442466,0.0715507743947171,0.000805548906775131,9,""
NC3_LDL_FRACT_EUR,EUR,Inverse variance weighted,0.0737814064908163,0.029958558617096,0.0137863613495386,249,""
NC3_LDL_FRACT_EUR,EUR,MR Egger,0.0501203887193381,0.0421398005599483,0.235430828632666,249,""
NC3_LDL_FRACT_EUR,EUR,Weighted median,0.0353676652625336,0.0415196776721588,0.394309011458794,249,""
NC3_LDL_FRACT_EUR,EUR,Weighted mode,0.0117678802357202,0.402629521510204,0.976706603877909,249,""
NC3_LDL_FRACT_EUR,EUR,MR-Egger intercept,0.00104421701852586,0.00130689757606697,0.425055450589331,249,""
NC3_LDL_FRACT_EUR,EUR,Q (MR Egger),441.228748066451,247,3.9005379934129e-13,249,"b=Q, se=df"
NC3_LDL_FRACT_EUR,EUR,Q (Inverse variance weighted),442.369169252543,248,4.06063699616486e-13,249,"b=Q, se=df"
NC3_LDL_FRACT_EUR,EUR,MR-PRESSO (raw),0.0737814064908163,0.029958558617096,0.0144667855416568,249,""
NC3_LDL_FRACT_EUR,EUR,MR-PRESSO (outlier-corrected),0.077943972242927,0.0303367383884647,0.0107859631884976,245,n_outliers=4
NC3_LDL_FRACT_EUR,EUR,MR-PRESSO Global,,,<0.001,249,Global pleiotropy test
NC3_LDL_FRACT_EUR,EUR,Radial-IVW,0.0737815322208949,0.0299589402329992,0.0137874061831684,249,""
SBP_AIS_EUR,EUR,Inverse variance weighted,0.0334844927988825,0.00251107192545782,1.45359403307102e-40,398,""
SBP_AIS_EUR,EUR,MR Egger,0.0465768526601974,0.00626361839545002,6.48010339480446e-13,398,""
SBP_AIS_EUR,EUR,Weighted median,0.0361971422531988,0.00323958286722765,5.50356522093485e-29,398,""
SBP_AIS_EUR,EUR,Weighted mode,0.0404353693277819,0.0137578997893199,0.0034843201009137,398,""
